ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,SmallestSize,AverageSize,LargestSize,DurationMinutes,DurationAccuracy,Timing,StoneConsistency,MoreRainThanHail,HailStarted,LargestHailStarted,MoreRainThanHail,Damage,AngleOfImpact,NumberOfStonesOnPad,DistanceBtwnStonesOnPad,DepthOnGround,DateTimeStamp
2018-08-14, 05:25 PM, 2018-08-14 05:43 PM, CO-JF-157, Evergreen 4.2 SSE, 39.5795, -105.2789, 0.250, 0.375, NA, 8, 1min, Continuous, Soft, False, Before rain, After smaller hail, False, minor leaf damage, vertical, , , , 2018-08-14 04:43 PM
2018-08-14, 05:10 PM, 2018-08-14 05:19 PM, CO-BO-143, Longmont 2.1 N, 40.2001, -105.1087, 0.500, 0.750, 1.250, 8, , Continuous, Hard, False, Same time as rain, Before smaller hail, False, minor leaf damage, , , , , 2018-08-14 04:19 PM
2018-08-14, 05:15 PM, 2018-08-15 07:49 AM, CO-BO-149, Longmont 1.7 NNE, 40.1945, -105.0905, 0.250, 0.375, 1.000, 15, , Continuous, Hard, True, Same time as rain, Before smaller hail, True, shredded leaves, , , , , 2018-08-15 06:49 AM
2018-08-14, 05:04 PM, 2018-08-14 05:13 PM, CO-PK-69, Bailey 6.4 NNW, 39.4905, -105.5239, 0.100, 0.375, 0.375, 7, 1min, Continuous, Hard, False, After rain, After smaller hail, False, minor leaf damage, 10-20, , , , 2018-08-14 04:13 PM
2018-08-14, 06:18 PM, 2018-08-14 06:23 PM, CO-JF-157, Evergreen 4.2 SSE, 39.5795, -105.2789, 0.250, 0.375, NA, 3, 1min, Continuous, Soft, False, Before rain, After smaller hail, False, no damage, vertical, , , , 2018-08-14 05:23 PM
2018-08-14, 05:12 PM, 2018-08-14 05:18 PM, CO-WE-311, Longmont 4.6 NE, 40.21242, -105.0425738, 0.250, 0.375, 0.500, 5, 2min, Continuous, Hard|White Ice, False, After rain, Same time as smaller hail, False, minor leaf damage, , , 2, , 2018-08-14 04:18 PM
2018-08-14, 06:40 PM, 2018-08-15 10:21 AM, CO-JF-240, Arvada 3.8 W, 39.817103, -105.177416, 0.100, 0.250, 0.375, 5, 1min, , White Ice, True, After rain, After smaller hail, True, minor leaf damage.shredded leaves, 10-20, , , , 2018-08-15 09:21 AM
2018-08-14, 05:58 PM, 2018-08-14 07:11 PM, CO-AD-120, Brighton 2.1 NNW, 39.98439, -104.81341, 0.375, 0.500, 0.875, 8, 2min, Continuous, Mixed|White Ice, True, Before rain, Before smaller hail, True, shredded leaves, vertical, , , .5, 2018-08-14 06:11 PM
2018-08-14, 06:05 PM, 2018-08-14 06:30 PM, CO-AD-87, Brighton 1.7 ESE, 39.9752, -104.7909, 0.250, 0.250, 1.000, 7, 1min, Continuous, Hard|White Ice, True, After rain, After smaller hail, True, minor leaf damage.shredded leaves, 10-20, , , 0.01, 2018-08-14 05:30 PM
2018-08-14, 05:51 PM, 2018-08-14 06:14 PM, CO-DN-141, Denver 5.3 SW, 39.676156, -105.0361269, 0.100, 0.100, 0.250, 3, 1min, Continuous, Hard|White Ice, False, After rain, Before smaller hail, False, no damage, , , , , 2018-08-14 05:14 PM
